순위,영화명,관람가,평점,예매율,개봉일
1,존 윅 4,청소년관람불가,9.3,41.2,23.04.12
2,더 퍼스트 슬램덩크,12세이상관람가,8.4,10.5,23.01.04
3,리바운드,12세이상관람가,8.8,8.2,23.04.05
4,스즈메의 문단속,12세이상관람가,7.5,7.7,23.03.08
5,킬링 로맨스,15세이상관람가,6.1,7.6,23.04.14
6,옥수역귀신,15세이상관람가,5.8,5.8,23.04.19
7,에어,15세이상관람가,8.5,1.7,23.04.05
8,멍뭉이,전체관람가,6.6,1.7,23.03.01
9,거울 속 외딴 성,12세이상관람가,8.9,1.5,23.04.12
10,렌필드,청소년관람불가,9.0,1.2,23.04.19
11,카운트,12세이상관람가,8.2,0.8,23.02.22
12,던전 앤 드래곤: 도적들의 명예,12세이상관람가,8.2,0.7,23.03.29
13,아임 히어로 더 파이널,전체관람가,9.7,0.5,23.03.01
14,라이스보이 슬립스,15세이상관람가,9.1,0.5,23.04.19
15,다음 소희,15세이상관람가,9.6,0.4,23.02.08
16,슈퍼 마리오 브라더스,전체관람가,8.2,0.4,23.04.26
17,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,12세이상관람가,8.9,0.3,23.04.06
18,파벨만스,12세이상관람가,7.6,0.3,23.03.22
19,엘 카미노,전체관람가,8.3,0.3,23.03.29
20,물안에서,12세이상관람가,9.0,0.3,23.04.12
